pitch_angle[°]        eff@Al(1.49keV)        eff@Ti(4.51keV)
-15                   40.04046349            30.71501648
-12                   53.12365888            48.93713766
-9                    68.3035988             68.39831761
-6                    81.46036417            83.18745027
-3                    93.83851389            93.29316813
0                     100                    100
3                     91.74176936            95.74855064
6                     76.67218442            79.48164147
9                     63.29470909            59.79311129
12                    46.80890197            39.0246675 
15                    30.91165471            18.52904399











