yaw_angle[°]        eff@Al(1.49keV)        eff@Ti(4.51keV)
-15                 92.66                  87.87002003
-12                 93.73                  90.0289339
-9                  95.99                  93.54551525
-6                  99.52                  94.3801469
-3                  100                    94.9922101
0                   99.87                  97.61851769
3                   99.19                  97.26240819
6                   98.64                  100
9                   97.35                  97.03983975
12                  95.71                  96.21633652
15                  93.55                  89.83975072
