r [R_sun]      e #density [cm**-3] e #density [eV**3]  
0.0015         6.17268e+25         471.901             
0.002          6.17286e+25         471.915             
0.0025         6.17313e+25         471.936             
0.003          6.16934e+25         471.646             
0.0035         6.1698e+25          471.681             
0.004          6.16619e+25         471.405             
0.0045         6.16674e+25         471.447             
0.005          6.16327e+25         471.182             
0.0055         6.16394e+25         471.234             
0.006          6.16061e+25         470.979             
0.0065         6.16142e+25         471.041             
0.007          6.15822e+25         470.796             
0.0075         6.15506e+25         470.555             
0.008          6.15199e+25         470.32              
0.0085         6.14897e+25         470.089             
0.009          6.14599e+25         469.861             
0.0095         6.1431e+25          469.64              
0.01           6.14029e+25         469.425             
0.0105         6.13753e+25         469.214             
0.011          6.13481e+25         469.006             
0.0115         6.13218e+25         468.805             
0.012          6.12548e+25         468.293             
0.0125         6.12293e+25         468.098             
0.013          6.12048e+25         467.91              
0.0135         6.11399e+25         467.414             
0.014          6.11161e+25         467.233             
0.0145         6.10521e+25         466.743             
0.015          6.09888e+25         466.26              
0.0155         6.09672e+25         466.094             
0.016          6.09048e+25         465.617             
0.0165         6.08432e+25         465.146             
0.017          6.08232e+25         464.994             
0.0175         6.07624e+25         464.529             
0.018          6.07025e+25         464.07              
0.0185         6.06429e+25         463.615             
0.019          6.05841e+25         463.165             
0.0195         6.05252e+25         462.715             
0.02           6.04672e+25         462.272             
0.0205         6.041e+25           461.834             
0.021          6.03113e+25         461.08              
0.0215         6.02548e+25         460.648             
0.022          6.01991e+25         460.222             
0.0225         6.01433e+25         459.796             
0.023          6.00469e+25         459.058             
0.0235         5.99922e+25         458.641             
0.024          5.98964e+25         457.908             
0.0245         5.98429e+25         457.499             
0.025          5.97482e+25         456.775             
0.0255         5.96954e+25         456.371             
0.026          5.96013e+25         455.652             
0.0265         5.9508e+25          454.939             
0.027          5.94561e+25         454.542             
0.0275         5.93634e+25         453.833             
0.028          5.9271e+25          453.127             
0.0285         5.91788e+25         452.422             
0.029          5.91291e+25         452.042             
0.0295         5.90376e+25         451.342             
0.03           5.89467e+25         450.648             
0.0305         5.88562e+25         449.956             
0.031          5.87659e+25         449.265             
0.0315         5.86759e+25         448.577             
0.032          5.85861e+25         447.891             
0.0325         5.84966e+25         447.207             
0.033          5.84074e+25         446.525             
0.0335         5.82769e+25         445.527             
0.034          5.81882e+25         444.849             
0.0345         5.80997e+25         444.173             
0.035          5.80119e+25         443.501             
0.0355         5.78819e+25         442.507             
0.036          5.77946e+25         441.84              
0.0365         5.77071e+25         441.171             
0.037          5.75777e+25         440.181             
0.0375         5.7491e+25          439.519             
0.038          5.74042e+25         438.855             
0.0385         5.72754e+25         437.87              
0.039          5.71894e+25         437.213             
0.0395         5.7061e+25          436.231             
0.04           5.6975e+25          435.574             
0.0405         5.68469e+25         434.595             
0.041          5.67185e+25         433.613             
0.0415         5.66332e+25         432.961             
0.042          5.65056e+25         431.985             
0.0425         5.64202e+25         431.332             
0.043          5.62925e+25         430.356             
0.0435         5.6165e+25          429.381             
0.044          5.60376e+25         428.407             
0.0445         5.59525e+25         427.757             
0.045          5.58254e+25         426.785             
0.0455         5.56981e+25         425.812             
0.046          5.55708e+25         424.839             
0.0465         5.54861e+25         424.191             
0.047          5.53591e+25         423.22              
0.0475         5.52319e+25         422.248             
0.048          5.51048e+25         421.276             
0.0485         5.49774e+25         420.302             
0.049          5.48501e+25         419.329             
0.0495         5.47229e+25         418.357             
0.05           5.46385e+25         417.711             
0.0505         5.45111e+25         416.738             
0.051          5.43839e+25         415.765             
0.0515         5.42564e+25         414.79              
0.052          5.4129e+25          413.816             
0.0525         5.40013e+25         412.84              
0.053          5.38737e+25         411.864             
0.0535         5.37462e+25         410.89              
0.054          5.36184e+25         409.912             
0.0545         5.34906e+25         408.936             
0.055          5.33626e+25         407.957             
0.0555         5.32343e+25         406.976             
0.056          5.3106e+25          405.996             
0.0565         5.29779e+25         405.016             
0.057          5.28494e+25         404.034             
0.0575         5.26774e+25         402.719             
0.058          5.25487e+25         401.735             
0.0585         5.24197e+25         400.748             
0.059          5.22907e+25         399.762             
0.0595         5.21614e+25         398.774             
0.06           5.20321e+25         397.786             
0.0605         5.19022e+25         396.793             
0.061          5.17727e+25         395.803             
0.0615         5.16429e+25         394.81              
0.062          5.15128e+25         393.816             
0.0625         5.13824e+25         392.819             
0.063          5.12081e+25         391.486             
0.0635         5.10774e+25         390.486             
0.064          5.09463e+25         389.485             
0.0645         5.08153e+25         388.483             
0.065          5.06837e+25         387.477             
0.0655         5.0552e+25          386.47              
0.066          5.04204e+25         385.464             
0.0665         5.02882e+25         384.453             
0.067          5.01117e+25         383.104             
0.0675         4.99791e+25         382.09              
